circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
mimc,4320,16,16,9677.25,2194.20,4.08,337536,133955,128,181.7,5774.11,6553.43,3.98,277043,69139,128,1358.14,66.26,1026.92,1118.81,37.34,11520
mimc,4320,64,1,34263.15,6750.01,4.08,1376064,548771,128,1337.0,474.24,615.90,3.99,17318,4324,128,1358.14,31.26,31.26,1118.81,37.34,11520
mimc,4320,64,2,34263.15,6750.08,4.09,1376064,548771,128,1345.5,866.07,1078.61,3.97,34633,8645,128,1358.14,52.18,83.44,1118.81,37.34,11520
mimc,4320,64,4,34263.15,6760.23,4.09,1376064,548771,128,1345.5,1655.66,1902.66,3.96,69263,17287,128,1358.14,66.05,213.41,1118.81,37.34,11520
mimc,4320,64,8,34263.15,6751.09,4.18,1376064,548771,128,1345.5,3044.05,3542.13,3.97,138523,34571,128,1358.14,67.46,487.61,1118.81,37.34,11520
mimc,4320,64,16,34263.15,6796.04,4.23,1376064,548771,128,1345.5,5774.11,6553.43,3.98,277043,69139,128,1358.14,66.26,1026.92,1118.81,37.34,11520
mimc,4320,64,32,34263.15,6893.51,4.10,1376064,548771,128,1345.5,10560.74,12226.68,3.99,554083,138275,128,1358.14,69.04,2140.30,1118.81,37.34,11520
mimc,4320,64,64,34263.15,6818.97,4.09,1376064,548771,128,1345.5,20028.23,22887.57,4.12,1108163,276547,128,1358.14,68.00,4408.96,1118.81,37.34,11520
scalable,1024,16,1,4580.43,690.70,4.08,79940,31779,128,59.2,238.93,295.37,3.98,4106,1028,128,1339.38,36.01,36.01,1141.00,37.33,11520
scalable,1024,16,2,4580.43,698.19,4.09,79940,31779,128,59.2,431.46,515.74,3.98,8205,2053,128,1339.38,43.15,79.16,1141.00,37.33,11520
scalable,1024,16,4,4580.43,698.50,4.07,79940,31779,128,59.2,767.65,885.56,3.98,16403,4103,128,1339.38,66.98,199.84,1141.00,37.33,11520
scalable,1024,16,8,4580.43,697.88,4.07,79940,31779,128,59.2,1398.60,1622.16,3.98,32799,8203,128,1339.38,56.39,427.69,1141.00,37.33,11520
scalable,1024,16,16,4580.43,698.73,4.09,79940,31779,128,59.2,2603.31,2921.56,3.99,65591,16403,128,1339.38,57.71,902.91,1141.00,37.33,11520
scalable,1024,64,1,16054.30,1884.55,4.18,325892,130179,128,401.3,238.93,295.37,3.98,4106,1028,128,1339.38,36.01,36.01,1141.00,37.33,11520
scalable,1024,64,2,16054.30,1899.61,4.06,325892,130179,128,401.4,431.46,515.74,3.98,8205,2053,128,1339.38,43.15,79.16,1141.00,37.33,11520
scalable,1024,64,4,16054.30,1894.73,4.09,325892,130179,128,401.4,767.65,885.56,3.98,16403,4103,128,1339.38,66.98,199.84,1141.00,37.33,11520
scalable,1024,64,8,16054.30,1897.11,4.08,325892,130179,128,401.4,1398.60,1622.16,3.98,32799,8203,128,1339.38,56.39,427.69,1141.00,37.33,11520
scalable,1024,64,16,16054.30,1900.89,4.08,325892,130179,128,401.4,2603.31,2921.56,3.99,65591,16403,128,1339.38,57.71,902.91,1141.00,37.33,11520
scalable,1024,64,32,16054.30,1899.70,4.10,325892,130179,128,402.4,4803.68,5359.49,3.97,131175,32803,128,1339.38,56.67,1826.53,1141.00,37.33,11520
scalable,1024,64,64,16054.30,1907.07,4.07,325892,130179,128,404.4,8983.35,10000.02,3.99,262343,65603,128,1339.38,56.25,3718.52,1141.00,37.33,11520
scalable,8192,16,1,29779.83,4470.85,4.08,639044,253987,128,435.9,1451.28,1604.68,3.96,32778,8196,128,1717.86,35.60,35.60,1141.90,36.00,11896
scalable,8192,16,2,29779.83,4501.27,4.07,639044,253987,128,435.9,2623.92,2925.45,3.99,65549,16389,128,1717.86,62.04,97.64,1141.90,36.00,11896
scalable,8192,16,4,29779.83,4498.35,4.08,639044,253987,128,435.9,4987.56,5383.21,3.98,131091,32775,128,1717.86,75.59,247.57,1141.90,36.00,11896
scalable,8192,16,8,29779.83,4508.15,4.07,639044,253987,128,435.9,9106.02,9959.71,3.97,262175,65547,128,1717.86,76.38,558.92,1141.90,36.00,11896
scalable,8192,16,16,29779.83,4510.46,4.09,639044,253987,128,435.9,17175.49,18717.95,3.98,524343,131091,128,1717.86,93.39,1219.21,1141.90,36.00,11896
scalable,8192,64,1,107008.74,13150.77,4.08,2605316,1040515,128,2708.1,1451.28,1604.68,3.96,32778,8196,128,1717.86,35.60,35.60,1141.90,36.00,11896
scalable,8192,64,2,107008.74,13176.94,4.08,2605316,1040515,128,2708.1,2623.92,2925.45,3.99,65549,16389,128,1717.86,62.04,97.64,1141.90,36.00,11896
scalable,8192,64,4,107008.74,13196.70,4.45,2605316,1040515,128,2708.2,4987.56,5383.21,3.98,131091,32775,128,1717.86,75.59,247.57,1141.90,36.00,11896
scalable,8192,64,8,107008.74,13302.01,4.08,2605316,1040515,128,2708.2,9106.02,9959.71,3.97,262175,65547,128,1717.86,76.38,558.92,1141.90,36.00,11896
scalable,8192,64,16,107008.74,13281.45,4.08,2605316,1040515,128,2708.2,17175.49,18717.95,3.98,524343,131091,128,1717.86,93.39,1219.21,1141.90,36.00,11896
scalable,8192,64,32,107008.74,13291.52,4.07,2605316,1040515,128,2708.2,31854.17,35138.54,3.98,1048679,262179,128,1717.86,76.94,2441.02,1141.90,36.00,11896
scalable,8192,64,64,107008.74,13287.45,4.08,2605316,1040515,128,2724.2,60488.74,65682.89,3.96,2097351,524355,128,1717.86,75.80,4964.71,1141.90,36.00,11896
scalable,65536,16,1,200750.51,31806.14,4.08,5111876,2031651,128,3001.4,8998.83,9936.01,3.97,262154,65540,128,1447.33,107.14,107.14,1671.27,38.84,12648
scalable,65536,16,2,200750.51,31794.16,4.09,5111876,2031651,128,3001.4,16947.87,18616.80,4.05,524301,131077,128,1447.33,203.16,310.30,1671.27,38.84,12648
scalable,65536,16,4,200750.51,31805.13,4.07,5111876,2031651,128,3001.4,31840.22,35039.96,3.97,1048595,262151,128,1447.33,215.88,742.08,1671.27,38.84,12648
scalable,65536,16,8,200750.51,31865.07,4.08,5111876,2031651,128,3001.4,60475.56,65709.67,3.96,2097183,524299,128,1447.33,218.38,1623.87,1671.27,38.84,12648
scalable,65536,16,16,200750.51,31894.22,4.07,5111876,2031651,128,3001.4,115056.05,125485.25,4.13,4194359,1048595,128,1447.33,218.56,3368.16,1671.27,38.84,12648
scalable,65536,64,1,765903.36,103595.79,4.09,20840708,8323203,128,21575.2,8998.83,9936.01,3.97,262154,65540,128,1447.33,107.14,107.14,1671.27,38.84,12648
scalable,65536,64,2,765903.36,104962.32,4.22,20840708,8323203,128,21579.7,16947.87,18616.80,4.05,524301,131077,128,1447.33,203.16,310.30,1671.27,38.84,12648
scalable,65536,64,4,765903.36,103380.89,4.08,20840708,8323203,128,21582.7,31840.22,35039.96,3.97,1048595,262151,128,1447.33,215.88,742.08,1671.27,38.84,12648
scalable,65536,64,8,765903.36,103124.35,4.08,20840708,8323203,128,21600.7,60475.56,65709.67,3.96,2097183,524299,128,1447.33,218.38,1623.87,1671.27,38.84,12648
